"year(t.date)","stations_used","avg_max_temp","avg_mean_temp","max_temp","min_temp","avg_max_summer_temp","max_max_summer_temp","co2_ppm","annual_solar_local","summer_solar_local","avg_solar_rad"
1980,28,11.540129,11.388876,33.50,-35.50,25.976213,33.50,338.75,,,
1981,28,12.028830,11.903624,34.50,-39.00,25.294419,34.50,340.11,,,
1982,28,12.030739,11.907278,33.00,-35.00,24.508664,33.00,341.45,,,
1983,28,12.569573,12.472567,35.80,-26.00,26.801044,35.80,343.05,,,
1984,28,12.286460,12.160523,37.00,-35.00,25.564698,32.10,344.65,7.37,8.850000,1365.275000
1985,28,12.108246,11.980040,33.00,-28.00,24.757360,33.00,346.12,7.34,8.740000,1364.748148
1986,28,12.216432,12.079730,34.30,-29.00,24.534553,34.30,347.42,7.39,8.735000,1364.624138
1987,28,13.467139,13.310710,36.80,-30.50,25.795531,34.10,349.19,7.44,8.880000,1364.992857
1988,28,13.015014,12.888722,39.00,-31.00,27.720685,39.00,351.57,7.40,9.065000,1365.273333
1989,28,11.956212,11.820580,35.00,-30.50,26.156615,35.00,353.12,7.26,8.665000,1365.956667
1990,28,13.429220,13.311234,35.90,-26.00,25.430376,35.90,354.39,7.43,8.685000,1365.780000
1991,28,13.651197,13.508700,36.00,-27.00,26.454843,36.00,355.61,7.44,8.715000,1365.683333
1992,28,11.666305,11.487246,31.50,-30.50,22.419797,31.50,356.45,7.26,8.530000,1365.515385
1993,28,12.188858,12.075502,35.00,-30.50,26.479933,35.00,357.10,7.28,8.820000,1365.501538
1994,28,12.184156,12.083425,36.20,-38.50,24.962118,34.00,358.83,7.23,8.605000,1365.063830
1995,28,12.504624,12.347871,36.80,-28.00,26.700062,36.80,360.82,7.29,8.910000,1364.997561
1996,28,11.500479,11.448162,33.50,-32.00,25.258816,33.50,362.61,7.22,8.450000,1364.997619
1997,28,12.334118,12.107741,34.50,-31.00,24.408915,34.50,363.73,7.16,8.570000,1365.127119
1998,28,14.711699,14.617159,35.00,-23.50,26.335843,35.00,366.70,7.42,8.625000,1365.534694
1999,28,13.958844,13.863726,35.20,-36.00,26.463477,35.20,368.38,7.32,8.735000,1365.739394
2000,28,12.626895,12.484180,32.00,-32.50,24.402057,32.00,369.55,7.32,8.510000,1365.765909
2001,28,13.794753,13.672466,37.90,-29.00,26.525305,37.90,371.14,7.36,8.655000,1366.006818
2002,28,13.585967,13.455169,36.00,-24.00,27.651540,36.00,373.28,7.38,8.690000,1365.952174
2003,28,12.209525,12.070020,35.00,-34.50,25.973882,34.00,375.80,7.29,8.725000,1365.709677
2004,28,12.510110,12.409144,32.50,-34.50,24.139223,32.00,377.52,7.31,8.695000,
2005,28,13.505539,13.269657,36.50,-30.50,27.745270,36.50,379.80,7.28,8.855000,
2006,28,13.882342,13.811450,37.00,-26.00,26.587838,37.00,381.90,7.41,8.800000,
2007,28,12.736059,12.612839,35.50,-30.50,26.361145,35.50,383.79,7.32,8.705000,
2008,28,12.903643,12.715899,35.00,-29.00,25.287747,35.00,385.60,7.33,8.800000,
2009,28,12.348115,12.185157,32.50,-30.00,24.061137,32.00,387.43,7.27,8.810000,
2010,28,13.784112,13.588158,38.00,-27.50,26.981274,38.00,389.90,7.46,9.095000,
2011,28,13.164400,13.037570,37.90,-29.00,27.379026,37.90,391.65,7.48,9.040000,
2012,28,14.926493,14.851587,36.80,-22.00,27.558483,36.80,393.85,7.54,8.980000,
2013,28,12.452841,12.322946,34.50,-30.50,25.495714,34.50,396.52,7.34,8.745000,
2014,28,11.165325,11.030410,33.00,-33.00,24.042802,33.00,398.65,7.22,8.550000,
2015,28,12.878010,12.767698,35.00,-34.00,24.985955,33.00,400.83,7.28,8.580000,
2016,28,14.493270,14.293017,36.00,-32.00,27.966960,36.00,404.24,7.41,9.045000,
2017,28,13.471286,13.317886,35.00,-31.00,24.750000,31.50,406.55,7.47,8.735000,
2018,28,13.912174,13.712811,35.00,-29.00,27.296642,35.00,408.52,7.45,9.020000,
2019,28,12.457262,12.260279,33.00,-27.00,26.391026,33.00,411.44,,,
2020,28,2.872168,2.590150,20.00,-27.00,,,,,,
